speciesID,matched_taxonID,acceptedNameUsageID,taxonName,domain,kingdom,phylum,class,subclass,superorder,order,sub-order,infraorder,section,subsection,superfamily,family,subfamily,tribe,genus,subgenus,genericName,specificEpithet,infraspecificEpithet,taxonRank,taxonomicStatus,parentNameUsageID
A-Arth-Hexa-Coleoptera-000199,,,Colaspoides gratiosa,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Colaspoides,"","",gratiosa,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000207,,,Platycorynus fuscoaeneus,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Platycorynus,"","",fuscoaeneus,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000208,,,Platycorynus parvulus,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Platycorynus,"","",parvulus,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000209,,,Platycorynus perplexus,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Platycorynus,"","",perplexus,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000210,,,Platycorynus robustus,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Platycorynus,"","",robustus,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000211,,,Platycorynus tuberculatus,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Platycorynus,"","",tuberculatus,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000212,,,Cleorina collaris,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Cleorina,"","",collaris,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000215,,,Basilepta humeralis,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Basilepta,"","",humeralis,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000216,,,Basilepta jansoni,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Basilepta,"","",jansoni,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000217,,,Basilepta lateripunctatum,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Basilepta,"","",lateripunctatum,"",BOSuncornirmedSpecies,BOSunformired,
