speciesId,matched_taxonID,acceptedNameUsageID,taxonName,domain,kingdom,phylum,class,subclass,superorder,order,sub-order,infraorder,section,subsection,superfamily,family,subfamily,tribe,genus,subgenus,genericName,specificEpithet,infraspecificEpithet
A-Vert-Reptilia-000024,11250469,9537238,<i>Hemidactylus frenatus</i>,,,Chordata,Reptilia,,,Squamata,,,,,,Gekkonidae,,,Hemidactylus,,Hemidactylus,frenatus,""
A-Vert-Reptilia-000024,11224939,9537238,<i>Hemidactylus frenatus</i>,,,Chordata,Reptilia,,,Squamata,,,,,,Gekkonidae,,,Hemidactylus,,Hemidactylus,frenatus,""
A-Arth-Hexa-Lepidoptera-000669,8810912,-1,<i>Ambulyx moorei</i>,,,,Insecta,,,Lepidoptera,,,,,,Sphingidae,Smerinthinae,,Ambulyx,,Ambulyx,moorei,""
A-Arth-Hexa-Lepidoptera-000563,1863431,-1,<i>Cypa decolor</i>,,,,Insecta,,,Lepidoptera,,,,,,Sphingidae,Smerinthinae,,Cypa,,Cypa,decolor,""
F-Basidomycota-000005,9513251,5249271,<i>Auricularia auricula-judae</i>,,,Basidiomycota,Agaricomycetes,,,Auriculariales,,,,,,Auriculariaceae,,,Auricularia,,Auricularia,auricula-judae,""
F-Basidomycota-000005,7861582,5249271,<i>Auricularia auricula-judae</i>,,,Basidiomycota,Agaricomycetes,,,Auriculariales,,,,,,Auriculariaceae,,,Auricularia,,Auricularia,auricula-judae,""
A-Moll-Gastropoda-000176,7678556,6520884,<i>Lobiger viridis</i>,,,Mollusca,Gastropoda,,,,,,,,Oxynooidea,Oxynoidae,,,Lobiger,,Lobiger,viridis,""
A-Arth-Arac-Acari-000005,8236450,2183385,<i>Dermacentor auratus</i>,,,Arthropoda,Arachnida,,Parasitiformes,Ixodida,,,,,,Ixodidae,Hyalomminae,,Dermacentor,,Dermacentor,auratus,""
A-Porifera-000084,5182828,2248947,<i>Tethya robusta</i>,,,Porifera,,Heteroscleromorpha,,Tethyida,,,,,,Tethyidae,,,Cinachyrella,,Tethya,robusta,""
B-Alga-Cyanobacteria-000002,7821770,5426712,<i>Microcystis aeruginosa</i>,,,Cyanobacteria,Cyanobacteriia,Oscillatoriophycideae,,Cyanobacteriales,,,,,,Microcystaceae,,,Microcystis,,Microcystis,aeruginosa,""
A-Echi-Asteroidea-000061,8352610,2272309,<i>Patiriella pseudoexigua</i>?,,,Echinodermata,Asteroidea,,,Valvatida,,,,,,Asterinidae,,,Cryptasterina,,Patiriella,pseudoexigua,""
A-Vert-Pisces-000194,2397437,-1,<i>Fowleria variegata</i>,,,Chordata,Actinopterygii,,,Perciformes,,,,,,Apogonidae,,,Fowleria,,Fowleria,variegata,""
A-Arth-Hexa-Lepidoptera-000636,12149113,5111643,<i>Luceria oculalis</i>,,,,Insecta,,,Lepidoptera,,,,,,Erebidae,Hypenodinae,,Luceria,,Luceria,oculalis,""
F-Basidomycota-000004,9243157,-1,<i>Amauroderma rugosum</i>,,,Basidiomycota,Agaricomycetes,,,Polyporales,,,,,,Ganodermataceae,,,Amauroderma,,Amauroderma,rugosum,""
F-Basidomycota-000081,5246344,-1,<i>Microporus xanthopus</i>,,,Basidiomycota,Agaricomycetes,,,Polyporales,,,,,,Polyporaceae,,,Microporus,,Microporus,xanthopus,""
A-Moll-Gastropoda-000549,11096097,-1,<i>Neritina violacea </i>,,,Mollusca,Gastropoda,Neritimorpha,,Cycloneritida,,,,,Neritoidea,Neritidae,,,Neritina,,Neritina,violacea,""
A-Vert-Mammalia-000025,9780117,2434600,<i>Viverricula indica</i>,,,Chordata,Mammalia,,,Carnivora,,,,,,Viverridae,,,Viverricula,,Viverricula,indica,""
A-Vert-Aves-000025,2498057,2498061,<i>Anas poecilorhyncha</i>,,,Chordata,Aves,,,Anseriformes,,,,,,Anatidae,,,Anas,,Anas,poecilorhyncha,""
A-Arth-Hexa-Hymenoptera-000384,8310847,-1,<i>Cerceris pictiventris</i>,,,,Insecta,,,Hymenoptera,,,,,,Crabronidae,Philanthinae,,Cerceris,,Cerceris,pictiventris,""
A-Arth-Hexa-Diptera-001442,12272535,1529091,<i>Hydrotaea spinigera</i>,,,Arthopoda,Insecta,,,Diptera,Brachycera,Muscomorpha,Schizophora,Calyptratae,Muscoidea,Muscidae,,,Hydrotaea,,Hydrotaea,spinigera,""
A-Arth-Hexa-Coleoptera-000438,7813850,1116815,<i>Glenea (Glenea) scalaris</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Glenea,Glenea,scalaris,""
A-Arth-Hexa-Coleoptera-000429,11386184,1116616,<i>Glenea (Glenea) illuminata</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Glenea,Glenea,illuminata,""
A-Arth-Hexa-Coleoptera-000438,7849708,1116816,<i>Glenea (Glenea) scalaris</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Glenea,Glenea,scalaris,""
A-Arth-Hexa-Coleoptera-000430,7399826,1116881,<i>Glenea (Glenea) interrupta</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Glenea,Glenea,interrupta,""
A-Arth-Hexa-Coleoptera-000427,1116034,8012269,<i>Glenea (Glenea) dimidiata</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Glenea,Glenea,dimidiata,""
A-Arth-Hexa-Coleoptera-000439,8218267,1116614,<i>Glenea (Glenea) tenuilineata</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Glenea,Glenea,Glenea,tenuilineata,""
